"model","term","estimate","std.error","t.statistic","p.value","n","adj.r.squared"
"spi_x_reg_categ","factor(year)2017",-0.405151529348524,0.511392263034455,-0.792251972965861,0.428368042724216,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2018",-0.892597613204631,0.505700312688686,-1.76507229837155,0.0778021762708296,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2019",-0.54728139222769,0.502303663115284,-1.08954290485053,0.276130059874559,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2020",-0.534669612240051,0.512377889863305,-1.04350640965927,0.296920876681801,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2021",-1.94432208871294,0.532142451831382,-3.6537624127177,0.000269413459006466,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2022",-1.84189907352712,0.531744639666504,-3.46387896769831,0.000550936137277196,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2023",-2.10263060779906,0.533202090311642,-3.94340278480553,8.49117219322258e-05,1236,0.813315334883346
"spi_x_reg_categ","cen_spi_comp:factor(regime_type_categ)1",0.080021737082752,0.0388329997185779,2.06066329314418,0.0395471270305076,1236,0.813315334883346
"spi_x_reg_categ","cen_spi_comp:factor(regime_type_categ)2",0.0690477706181321,0.0386893978970191,1.7846690403898,0.0745638391683967,1236,0.813315334883346
"spi_x_reg_categ","cen_spi_comp:factor(regime_type_categ)3",0.158864348010961,0.0426021949067889,3.72901791465315,0.000201062704721616,1236,0.813315334883346
"spi_x_di_score","(Intercept)",69.4727319803927,0.398233476859679,174.452264857864,0,1236,0.814614905484771
"spi_x_di_score","cen_spi_comp",0.306309008760956,0.0126651337948979,24.1852169682053,6.27969982330471e-106,1236,0.814614905484771
"spi_x_di_score","cen_di_score",0.334101078155989,0.0934152163131674,3.57651666764803,0.000361795974008046,1236,0.814614905484771
"spi_x_di_score","cen_log_gdppc",2.97579135332831,0.143905614086047,20.6787717923845,1.05160746546701e-81,1236,0.814614905484771
"spi_x_di_score","I(cen_log_gdppc^2)",-1.02597576539851,0.0789614226072741,-12.9933799508825,2.96752951897329e-36,1236,0.814614905484771
"spi_x_di_score","factor(year)2017",-0.411137921862947,0.519882636693327,-0.79082833863804,0.429197497602183,1236,0.814614905484771
"spi_x_di_score","factor(year)2018",-0.950750018579642,0.507573364723687,-1.87312827003287,0.0612890455065968,1236,0.814614905484771
"spi_x_di_score","factor(year)2019",-0.661760231916623,0.505230218324002,-1.30981918324656,0.19050299130677,1236,0.814614905484771
"spi_x_di_score","factor(year)2020",-0.706547229428465,0.512413949330508,-1.37886025614955,0.168189971323274,1236,0.814614905484771
"spi_x_di_score","factor(year)2021",-2.19260456357571,0.524072728701571,-4.18377916555217,3.07185446546438e-05,1236,0.814614905484771
"spi_x_di_score","factor(year)2022",-2.10468912814327,0.525055512135195,-4.00850782345723,6.47984501071987e-05,1236,0.814614905484771
"spi_x_di_score","factor(year)2023",-2.44406387940241,0.528323056586707,-4.62607839830533,4.1228632511043e-06,1236,0.814614905484771
"spi_x_di_score","cen_spi_comp:cen_di_score",0.0298806196538255,0.00496805856200991,6.01454658411611,2.37905617451077e-09,1236,0.814614905484771
