"country_code","year","income_level"
"BHS",2019,"H"
"BHS",2020,"H"
"BHS",2021,"H"
"BHS",2022,"H"
"BHS",2023,"H"
"BIH",1987,".."
"BIH",1988,".."
"BIH",1989,".."
"BIH",1990,".."
"BIH",1991,".."
"BIH",1992,"LM"
"BIH",1993,"L"
"BIH",1994,"L"
"BIH",1995,"L"
"BIH",1996,"L"
"BIH",1997,"L"
"BIH",1998,"LM"
"BIH",1999,"LM"
"BIH",2000,"LM"
"BIH",2001,"LM"
"BIH",2002,"LM"
"BIH",2003,"LM"
"BIH",2004,"LM"
"BIH",2005,"LM"
"BIH",2006,"LM"
"BIH",2007,"LM"
"BIH",2008,"UM"
"BIH",2009,"UM"
"BIH",2010,"UM"
"BIH",2011,"UM"
"BIH",2012,"UM"
"BIH",2013,"UM"
"BIH",2014,"UM"
"BIH",2015,"UM"
"BIH",2016,"UM"
"BIH",2017,"UM"
"BIH",2018,"UM"
"BIH",2019,"UM"
"BIH",2020,"UM"
"BIH",2021,"UM"
"BIH",2022,"UM"
"BIH",2023,"UM"
"BLR",1987,".."
"BLR",1988,".."
"BLR",1989,".."
"BLR",1990,".."
"BLR",1991,"UM"
"BLR",1992,"UM"
"BLR",1993,"UM"
"BLR",1994,"LM"
"BLR",1995,"LM"
"BLR",1996,"LM"
"BLR",1997,"LM"
"BLR",1998,"LM"
"BLR",1999,"LM"
"BLR",2000,"LM"
"BLR",2001,"LM"
"BLR",2002,"LM"
"BLR",2003,"LM"
"BLR",2004,"LM"
"BLR",2005,"LM"
"BLR",2006,"LM"
"BLR",2007,"UM"
"BLR",2008,"UM"
"BLR",2009,"UM"
"BLR",2010,"UM"
"BLR",2011,"UM"
"BLR",2012,"UM"
"BLR",2013,"UM"
"BLR",2014,"UM"
"BLR",2015,"UM"
"BLR",2016,"UM"
"BLR",2017,"UM"
"BLR",2018,"UM"
"BLR",2019,"UM"
"BLR",2020,"UM"
"BLR",2021,"UM"
"BLR",2022,"UM"
"BLR",2023,"UM"
"BLZ",1987,"LM"
"BLZ",1988,"LM"
"BLZ",1989,"LM"
"BLZ",1990,"LM"
"BLZ",1991,"LM"
"BLZ",1992,"LM"
"BLZ",1993,"LM"
"BLZ",1994,"LM"
"BLZ",1995,"LM"
"BLZ",1996,"LM"
"BLZ",1997,"LM"
"BLZ",1998,"LM"
"BLZ",1999,"LM"
"BLZ",2000,"LM"
"BLZ",2001,"LM"
"BLZ",2002,"UM"
"BLZ",2003,"UM"
"BLZ",2004,"UM"
"BLZ",2005,"UM"
"BLZ",2006,"UM"
"BLZ",2007,"UM"
"BLZ",2008,"LM"
"BLZ",2009,"LM"
"BLZ",2010,"LM"
"BLZ",2011,"LM"
"BLZ",2012,"UM"
"BLZ",2013,"UM"
"BLZ",2014,"UM"
"BLZ",2015,"UM"
"BLZ",2016,"UM"
"BLZ",2017,"UM"
"BLZ",2018,"UM"
"BLZ",2019,"UM"
"BLZ",2020,"LM"
"BLZ",2021,"UM"
"BLZ",2022,"UM"
"BLZ",2023,"UM"
"BMU",1987,"H"
"BMU",1988,"H"
"BMU",1989,"H"
"BMU",1990,"H"
"BMU",1991,"H"
"BMU",1992,"H"
"BMU",1993,"H"
"BMU",1994,"H"
"BMU",1995,"H"
"BMU",1996,"H"
"BMU",1997,"H"
"BMU",1998,"H"
"BMU",1999,"H"
"BMU",2000,"H"
"BMU",2001,"H"
"BMU",2002,"H"
"BMU",2003,"H"
"BMU",2004,"H"
"BMU",2005,"H"
"BMU",2006,"H"
"BMU",2007,"H"
"BMU",2008,"H"
"BMU",2009,"H"
"BMU",2010,"H"
"BMU",2011,"H"
"BMU",2012,"H"
"BMU",2013,"H"
"BMU",2014,"H"
"BMU",2015,"H"
"BMU",2016,"H"
"BMU",2017,"H"
"BMU",2018,"H"
"BMU",2019,"H"
"BMU",2020,"H"
"BMU",2021,"H"
"BMU",2022,"H"
"BMU",2023,"H"
"BOL",1987,"LM"
"BOL",1988,"LM"
"BOL",1989,"LM"
"BOL",1990,"LM"
"BOL",1991,"LM"
"BOL",1992,"LM"
"BOL",1993,"LM"
"BOL",1994,"LM"
"BOL",1995,"LM"
"BOL",1996,"LM"
"BOL",1997,"LM"
"BOL",1998,"LM"
"BOL",1999,"LM"
"BOL",2000,"LM"
"BOL",2001,"LM"
"BOL",2002,"LM"
"BOL",2003,"LM"
"BOL",2004,"LM"
"BOL",2005,"LM"
"BOL",2006,"LM"
"BOL",2007,"LM"
"BOL",2008,"LM"
"BOL",2009,"LM"
"BOL",2010,"LM"
"BOL",2011,"LM"
"BOL",2012,"LM"
"BOL",2013,"LM"
"BOL",2014,"LM"
"BOL",2015,"LM"
"BOL",2016,"LM"
"BOL",2017,"LM"
"BOL",2018,"LM"
"BOL",2019,"LM"
"BOL",2020,"LM"
"BOL",2021,"LM"
"BOL",2022,"LM"
"BOL",2023,"LM"
"BRA",1987,"UM"
"BRA",1988,"LM"
"BRA",1989,"UM"
"BRA",1990,"UM"
"BRA",1991,"UM"
"BRA",1992,"UM"
"BRA",1993,"UM"
"BRA",1994,"UM"
"BRA",1995,"UM"
"BRA",1996,"UM"
"BRA",1997,"UM"
"BRA",1998,"UM"
"BRA",1999,"UM"
"BRA",2000,"UM"
"BRA",2001,"UM"
"BRA",2002,"LM"
"BRA",2003,"LM"
"BRA",2004,"LM"
"BRA",2005,"LM"
"BRA",2006,"UM"
"BRA",2007,"UM"
"BRA",2008,"UM"
"BRA",2009,"UM"
"BRA",2010,"UM"
"BRA",2011,"UM"
"BRA",2012,"UM"
"BRA",2013,"UM"
"BRA",2014,"UM"
"BRA",2015,"UM"
"BRA",2016,"UM"
"BRA",2017,"UM"
"BRA",2018,"UM"
"BRA",2019,"UM"
"BRA",2020,"UM"
"BRA",2021,"UM"
"BRA",2022,"UM"
"BRA",2023,"UM"
"BRB",1987,"UM"
"BRB",1988,"UM"
"BRB",1989,"H"
"BRB",1990,"UM"
"BRB",1991,"UM"
"BRB",1992,"UM"
"BRB",1993,"UM"
"BRB",1994,"UM"
"BRB",1995,"UM"
"BRB",1996,"UM"
"BRB",1997,"UM"
"BRB",1998,"UM"
"BRB",1999,"UM"
"BRB",2000,"H"
"BRB",2001,"UM"
"BRB",2002,"H"
"BRB",2003,"UM"
"BRB",2004,"UM"
"BRB",2005,"UM"
"BRB",2006,"H"
"BRB",2007,"H"
"BRB",2008,"H"
"BRB",2009,"H"
"BRB",2010,"H"
"BRB",2011,"H"
"BRB",2012,"H"
"BRB",2013,"H"
"BRB",2014,"H"
"BRB",2015,"H"
"BRB",2016,"H"
"BRB",2017,"H"
"BRB",2018,"H"
"BRB",2019,"H"
"BRB",2020,"H"
"BRB",2021,"H"
"BRB",2022,"H"
"BRB",2023,"H"
"BRN",1987,"H"
"BRN",1988,".."
"BRN",1989,".."
"BRN",1990,"H"
"BRN",1991,"H"
"BRN",1992,"H"
"BRN",1993,"H"
"BRN",1994,"H"
"BRN",1995,"H"
"BRN",1996,"H"
"BRN",1997,"H"
"BRN",1998,"H"
"BRN",1999,"H"
"BRN",2000,"H"
"BRN",2001,"H"
"BRN",2002,"H"
"BRN",2003,"H"
"BRN",2004,"H"
"BRN",2005,"H"
"BRN",2006,"H"
"BRN",2007,"H"
"BRN",2008,"H"
"BRN",2009,"H"
"BRN",2010,"H"
"BRN",2011,"H"
"BRN",2012,"H"
"BRN",2013,"H"
"BRN",2014,"H"
"BRN",2015,"H"
"BRN",2016,"H"
"BRN",2017,"H"
"BRN",2018,"H"
"BRN",2019,"H"
"BRN",2020,"H"
"BRN",2021,"H"
"BRN",2022,"H"
"BRN",2023,"H"
"BTN",1987,"L"
"BTN",1988,"L"
"BTN",1989,"L"
"BTN",1990,"L"
"BTN",1991,"L"
"BTN",1992,"L"
"BTN",1993,"L"
"BTN",1994,"L"
"BTN",1995,"L"
"BTN",1996,"L"
"BTN",1997,"L"
"BTN",1998,"L"
"BTN",1999,"L"
"BTN",2000,"L"
"BTN",2001,"L"
"BTN",2002,"L"
"BTN",2003,"L"
"BTN",2004,"L"
"BTN",2005,"L"
